id,source_type,title,authors,issued_year,citation,doi,isbn
SRC-0D5A017F426B,article,An Aramaic Incantation Bowl from Borsippa,Tapani Harviainen,1981,"Harviainen, Tapani. ‘An Aramaic Incantation Bowl from Borsippa.’ Studia Orientalia (1981).",,
SRC-0D8769F51A18,repository,Incantation bowl with Aramaic inscription,Sasanian,,Incantation bowl with Aramaic inscription. Internet Archive item mma_incantation_bowl_with_aramaic_inscription_322405.,,
SRC-0D8C4983AED9,article,"An Aramaic Magic Bowl for Fertility and Success in Childbirth: Lisboa, Museu da Farmácia, Inv. No. 10895",Siam Bhayro; James Nathan Ford; Dan Levene; Ortal-Paz Saar,2017,"Bhayro et al. ‘An Aramaic Magic Bowl for Fertility and Success in Childbirth: Lisboa, Museu da Farmácia, Inv. No. 10895.’ Aramaic Studies 15 (2017).",10.1163/17455227-01501002,
SRC-0D9F521F9AA2,museum_record,קערת השבעה מס' 7,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 7, Ms. Heb. 9467.19, MMS 997008712404805171.",,
SRC-0DE38025EFAE,article,On Early Jewish Literature and the Aramaic Magic Bowls,Siam Bhayro,2015,On Early Jewish Literature and the Aramaic Magic Bowls (2015). Crossref DOI 10.1163/17455227-01301005.,10.1163/17455227-01301005,
SRC-0E239F9740F6,museum_record,Eine Zauberschale aus Nippur,"Frau Professor Hilprecht Collection of Babylonian Antiquities, Friedrich Schiller University Jena",,"Museen Thüringen, ‘Eine Zauberschale aus Nippur,’ HS 3048, portal record dc00001091, accessed 4 September 2026.",,
SRC-0E3CF64AADCA,article,"""Mandaic Incantation: lead rolls and magic bowls""",YAMAUCHI Edwin,2005,"""Mandaic Incantation: lead rolls and magic bowls"" (2005). Crossref DOI 10.2143/aram.11.1.504467.",10.2143/aram.11.1.504467,
SRC-0ED4935B6606,museum_record,Eine Zauberschale aus Nippur,"Frau Professor Hilprecht Collection of Babylonian Antiquities, Friedrich Schiller University Jena",,"Museen Thüringen, ‘Eine Zauberschale aus Nippur,’ HS 3050, portal record dc00001093, accessed 4 September 2026.",,
SRC-0EFFDC54B348,dealer_record,Aramaic Incantation Bowl,Christoph Bacher Ancient Art,,"Christoph Bacher Ancient Art, ‘Aramaic Incantation Bowl,’ ref. 6412, accessed 4 September 2026.",,
SRC-0F771B1F1909,article,Two New Aramaic Incantation Bowls,Isbell [and others; see citation],1976,———. “Two New Aramaic Incantation Bowls.” BASOR 223 (1976): 15–23.,,
SRC-0F8B82A71EC7,auction_record,Aramaic Incantation Bowl — Inscribed with Protective Spells,Catawiki via Barnebys,2025,"Catawiki, closed 19 September 2025; Barnebys record mx2DTW9-621490181.",,
SRC-0FC1E1F46934,museum_record,Hebrew Bowl 85-48-912,,,"Penn Museum Online Collections, 85-48-912, web object 279284",,
SRC-0FE31B18B496,museum_record,Hebrew Bowl B16064,,,"Penn Museum Online Collections, B16064, web object 108790",,
SRC-1116D4D1CA25,museum_record,Hebrew Bowl B16001,,,"Penn Museum Online Collections, B16001, web object 179232",,
SRC-1165BD7197BA,museum_record,Sherd B2351,,,"Penn Museum Online Collections, B2351, web object 206305",,
SRC-1197DC220F81,museum_record,Hebrew Bowl B2974,,,"Penn Museum Online Collections, B2974, web object 293964",,
SRC-1266ACD6AF22,museum_record,Incantation bowl with Aramaic inscription,,,"The Metropolitan Museum of Art, object 32.150.90 (https://www.metmuseum.org/art/collection/search/322405)",,
SRC-1287F81AAABD,museum_record,Eine Zauberschale aus Nippur,"Frau Professor Hilprecht Collection of Babylonian Antiquities, Friedrich Schiller University Jena",,"Museen Thüringen, ‘Eine Zauberschale aus Nippur,’ HS 3055, portal record dc00001094, accessed 4 September 2026.",,
SRC-130E5CC7BE14,museum_record,קערת השבעה מס' 22,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 22, Ms. Heb. 9467.86, MMS 997008712398905171.",,
SRC-133F4B594C21,museum_record,Hebrew Bowl B16055,,,"Penn Museum Online Collections, B16055, web object 316216",,
SRC-134B12FB133A,museum_record,קערת השבעה מס' 4,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 4, Ms. Heb. 9467.7, MMS 997008712405605171.",,
SRC-1372060A77E6,article,Two Magic Bowls: New Incantation Texts from Mesopotamia,"Obermann, Julian",1940,"Obermann, Julian. “Two Magic Bowls: New Incantation Texts from Mesopotamia.” AJSL 57 (1940): 1–31.",,
SRC-1375F4DCFE63,museum_record,Mandaic Incantation Bowl,Jewish Museum of Switzerland; photograph by LGLou,,"Jewish Museum of Switzerland, object JMS 1973-2; photographed by LGLou, 20 July 2021, Wikimedia Commons ‘Mandaic Incantation Bowl.’",,
SRC-14598C71E793,museum_record,קערת השבעה מס' 115,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 115, Ms. Heb. 9467.63, MMS 997008712547605171.",,
SRC-14ECC955C5F3,museum_record,Hebrew Bowl B16103,,,"Penn Museum Online Collections, B16103, web object 325646",,
SRC-158756DB402D,museum_record,Hebrew Bowl B16029,,,"Penn Museum Online Collections, B16029, web object 256455",,
SRC-168BAEA3242C,museum_record,קערת השבעה מס' 120,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 120, Ms. Heb. 9467.83, MMS 997008712547105171.",,
SRC-16E6FD74D61C,museum_record,Aramaic Incantation Bowls Project,Loyola Marymount University Archaeology Center,,Loyola Marymount University Archaeology Center. “Aramaic Incantation Bowls Project.” Accessed 4 September 2026.,,
SRC-172CBC220078,museum_record,Hebrew Bowl B8692,,,"Penn Museum Online Collections, B8692, web object 107954",,
SRC-172D44EE4FF0,museum_record,קערת השבעה מס' 212,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 212, Ms. Heb. 9467.22, MMS 997008712409805171.",,
SRC-1781EDCFACDE,museum_record,קערת השבעה מס' 142,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 142, Ms. Heb. 9467.169, MMS 997008712544905171.",,
SRC-17A7CA53F7DB,article,Arabic Magic Bowl from the Velyki Kuchugury Hillfort,Ali H. Faraj,2025,"Faraj, Ali H. ‘Arabic Magic Bowl from the Velyki Kuchugury Hillfort.’ The World of the Orient 2025, no. 2.",10.15407/orientw2025.02.081,
SRC-18F27823F3AD,museum_record,קערת השבעה מס' 125,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 125, Ms. Heb. 9467.103, MMS 997008712546605171.",,
SRC-195B6B6E19A1,article,A Unique Talmudic Aramaic Incantation Bowl,Christa Müller-Kessler; Theodore Kwasman,2000,"Müller-Kessler, Christa, and Theodore Kwasman. ‘A Unique Talmudic Aramaic Incantation Bowl.’ JAOS 120 (2000): 159–165.",10.2307/605019,
SRC-19F191B3F5C5,chapter,The Study of the Jewish Babylonian Aramaic Magic Bowls: State of the Art: With a List of JBA Bowl Publications (1853–2024) and a Map of Known Excavation Sites,Daniel J. Waller,2025,"Waller, Daniel J. ‘The Study of the Jewish Babylonian Aramaic Magic Bowls: State of the Art: With a List of JBA Bowl Publications (1853–2024) and a Map of Known Excavation Sites.’ In Aramaic Incantation Bowls in Their Late Antique Jewish Contexts, 3–48, 2025. DOI: 10.2307/jj.32831083.5.",10.2307/jj.32831083.5,
SRC-1A036C59913F,museum_record,Hebrew Bowl B9006,,,"Penn Museum Online Collections, B9006, web object 88988",,
SRC-1A1CA0D8975E,museum_record,Hebrew Bowl B6345,,,"Penn Museum Online Collections, B6345, web object 28709",,
SRC-1A4FE805E509,museum_record,קערת השבעה מס' 53,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 53, Ms. Heb. 9467.21, MMS 997008712408905171.",,
SRC-1A922C3F041F,article,The Jewish Babylonian Aramaic Magic Bowl BM 91767 Reconsidered,Christa Müller-Kessler,2007,"Müller-Kessler, ‘The Jewish Babylonian Aramaic Magic Bowl BM 91767 Reconsidered,’ Le Muséon 120 (2007).",10.2143/MUS.120.1.2020266,
SRC-1AA4E8BFC7B3,article,A New Aramaic Incantation Bowl,Al-Jubouri [and others; see citation],2015,———. “ A New Aramaic Incantation Bowl.” Semitica 57 (2015): 211–16.,,
SRC-1B1888AA7E76,dealer_record,Aramaic Incantation Bowl — inventory 8324,Hixenbaugh Ancient Art,,"Hixenbaugh Ancient Art, “Aramaic Incantation Bowl,” inventory 8324. Accessed 4 September 2026.",,
SRC-1B2EA0C25D31,museum_record,Eine Zauberschale aus Nippur,"Frau Professor Hilprecht Collection of Babylonian Antiquities, Friedrich Schiller University Jena",,"Museen Thüringen, ‘Eine Zauberschale aus Nippur,’ HS 3038, portal record dc00001087, accessed 4 September 2026.",,
SRC-1B660EA75317,museum_record,קערת השבעה מס' 131,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 131, Ms. Heb. 9467.127, MMS 997008712546005171.",,
SRC-1B966F866CDF,web_page,Aramaic Magic Bowl: The Expulsion of Lilith,Center for Online Judaic Studies,,"Center for Online Judaic Studies. ‘Aramaic Magic Bowl: The Expulsion of Lilith,’ citing C. D. Isbell, Corpus of the Aramaic Incantation Bowls (1975), bowl 22, p. 69; accessed 4 September 2026.",,
SRC-1BB50C76BF2C,museum_record,קערת השבעה מס' 35,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 35, Ms. Heb. 9467.138, MMS 997008712396605171.",,
SRC-1CAFEFE49E1B,museum_record,קערת השבעה מס' 149,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 149, Ms. Heb. 9467.197, MMS 997008712544205171.",,
SRC-1CB4C889AD40,museum_record,Hebrew Bowl B8691,,,"Penn Museum Online Collections, B8691, web object 252935",,
SRC-1CFCA1D5EACA,museum_record,קערת השבעה מס' 28,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 28, Ms. Heb. 9467.110, MMS 997008712397505171.",,
SRC-1D8E2B6707B0,museum_record,Hebrew Bowl 85-48-904,,,"Penn Museum Online Collections, 85-48-904, web object 305967",,
SRC-1EE58A703971,article,Another Look at Mandaic Incantation Bowl BM 91715,Christa Müller-Kessler,2002,"Müller-Kessler, ‘Another Look at Mandaic Incantation Bowl BM 91715’ (2002).",,
SRC-1F52948F96BC,museum_record,"Bowl, Incantation — A33980","Institute for the Study of Ancient Cultures, University of Chicago",,"ISAC Museum, “Bowl, Incantation,” registration A33980, accession 3633, field number 10N-361 A-B. Accessed 4 September 2026.",,
SRC-1F676D0669B6,museum_record,Mesopotamian Collection highlight 27: Incantation Bowl,Institute for the Study of Ancient Cultures Museum,,"Institute for the Study of Ancient Cultures Museum. ‘Mesopotamian Collection,’ highlight 27, OIM A32675, accessed 4 September 2026.",,
SRC-1FE46019356A,book,Corpus of the Aramaic Incantation Bowls,"Isbell, Charles D",1975,"Isbell, Charles D. Corpus of the Aramaic Incantation Bowls . SBLDS 17. Missoula, MT: Society of Biblical Literature, 1975.",,
SRC-202A5D83B21F,article,Eight Incantation Bowls,Geller [and others; see citation],1986,———. “Eight Incantation Bowls.” Orientalia Lovaniensia Periodica 17 (1986): 101–17.,,
SRC-21181A05137B,museum_record,Hebrew Bowl B8836,,,"Penn Museum Online Collections, B8836, web object 123065",,
SRC-212816ED7316,article,Über die von Layard aufgefundenen chaldäischen Inschriften auf Topfgefässen: Ein Beitrag zur hebräischen Paläographie und zur Religionsgeschichte,"Levy, M. A",1855,"Levy, M. A. “Über die von Layard aufgefundenen chaldäischen Inschriften auf Topfgefässen: Ein Beitrag zur hebräischen Paläographie und zur Religionsgeschichte.” ZDMG 9 (1855): 465–91.",,
SRC-213738DB2FB5,database,Aramaic incantation bowl,Unknown,2021,"Aramaic incantation bowl. USC Digital Library asset 2A3BF1S6UGXCB, DOI 10.25549/inscriptifact-ouc15260317.",10.25549/inscriptifact-ouc15260317,
SRC-21417589C8F9,article,‘… and by the name of Jesus …’ An Unpublished Magic Bowl in Jewish Aramaic,Dan Levene,1999,"Levene, Dan. ‘“… and by the name of Jesus …” An Unpublished Magic Bowl in Jewish Aramaic.’ JSQ 6, no. 4 (1999): 283–308.",,
SRC-216626D66A61,museum_record,קערת השבעה מס' 183,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 183, Ms. Heb. 9467.133, MMS 997008712401405171.",,
SRC-2168D49A8168,article,"1280°C, issue 49",1280°C ceramics journal,2025,"1280°C, issue 49 (2025), p. 71, caption to incantation bowl no. 139, National Library of Israel collection.",,
SRC-21960A7E5963,museum_record,קערת השבעה מס' 161,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 161, Ms. Heb. 9467.47, MMS 997008712408405171.",,
SRC-2224B0D9093F,museum_record,Incantation bowl with Mandaic inscription,,,"The Metropolitan Museum of Art, object 32.150.89 (https://www.metmuseum.org/art/collection/search/322404)",,
SRC-2227D5AC463A,auction_record,Aramaic Terracotta Incantation Bowl — item 232753117,LiveAuctioneers,2026,"Apollo Art Auctions, Fine Ancient Art and Antiquities, 21 June 2026, lot 1203, LiveAuctioneers item 232753117.",,
SRC-227FB1322589,museum_record,Hebrew Bowl B16080,,,"Penn Museum Online Collections, B16080, web object 204382",,
SRC-2349DCC5FC9C,museum_record,Hebrew Bowl 85-48-909,,,"Penn Museum Online Collections, 85-48-909, web object 199042",,
SRC-239F8591C3B5,museum_record,Hebrew Bowl B9016,,,"Penn Museum Online Collections, B9016, web object 300084",,
SRC-244417C8D483,museum_record,Hebrew Bowl B16039,,,"Penn Museum Online Collections, B16039, web object 333538",,
SRC-2471CE31E5D9,article,Two Incantation Bowls from Babylon,Erica C. D. Hunter,2000,"Hunter, Erica C. D. ‘Two Incantation Bowls from Babylon.’ Iraq 62 (2000): 139–147.",10.2307/4200485,
SRC-24AE4234E058,museum_record,Hebrew Bowl B16092,,,"Penn Museum Online Collections, B16092, web object 334778",,
SRC-24B0EC105BC9,article,Relics of Syriac Magic: Another Syriac Bowl for Prwkzʿd br Kwmy and a Syriac Incantation Fragment in the British Museum,Marco Moriggi,2024,"Moriggi, Marco. “Relics of Syriac Magic: Another Syriac Bowl for Prwkzʿd br Kwmy and a Syriac Incantation Fragment in the British Museum.” Folia Orientalia 61 (2024): 193–202. https://doi.org/10.24425/for.2024.152391.",10.24425/for.2024.152391,
SRC-24DD1B6CC031,museum_record,קערת השבעה מס' 170,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 170, Ms. Heb. 9467.81, MMS 997008712406705171.",,
SRC-25F456A40523,article,A Magical Bowl in Judaeo-Aramaic,Emiliano Martínez Borobio,2003,"Martínez Borobio, Emiliano. “A Magical Bowl in Judaeo-Aramaic.” Isimu 6 (2003): 323–336. https://doi.org/10.15366/isimu2003.6.018.",10.15366/isimu2003.6.018,
SRC-2620C1BFBA37,museum_record,Hebrew Bowl B316,,,"Penn Museum Online Collections, B316, web object 326684",,
SRC-2657FE1E4B18,museum_record,Hebrew Bowl B16077,,,"Penn Museum Online Collections, B16077, web object 19331",,
SRC-2678ACCD33D1,auction_record,Aramaic Terracotta Incantation Bowl,The Potomack Company,2026,"The Potomack Company, ‘Aramaic Terracotta Incantation Bowl,’ auction listing 556fef1cdb, 22 April 2026.",,
SRC-26EBAAB932E3,museum_record,Eine Zauberschale aus Nippur,"Frau Professor Hilprecht Collection of Babylonian Antiquities, Friedrich Schiller University Jena",,"Museen Thüringen, ‘Eine Zauberschale aus Nippur,’ HS 3036, portal record dc00001085, accessed 4 September 2026.",,
SRC-26F4495F3314,article,Linguistic Peculiarities in the Aramaic Magic Bowl Texts,Eljakim Wajsberg; Hannu Juusola,2001,Linguistic Peculiarities in the Aramaic Magic Bowl Texts (2001). Crossref DOI 10.2307/1455620.,10.2307/1455620,
SRC-27402D8BE8BE,museum_record,קערת השבעה מס' 70,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 70, Ms. Heb. 9467.108, MMS 997008712405405171.",,
SRC-27D35A24C6BC,article,"Body and Mind, Husband and Household, Collaborators and Communities: Centrifugal Spheres of Protection in an Aramaic Incantation Bowl (MC 77.233)",Alexander Marcus,2023,"Marcus, Alexander. ‘Body and Mind … in an Aramaic Incantation Bowl (MC 77.233).’ JSS 68, no. 2 (2023): 415–471.",10.1093/jss/fgad005,
SRC-2809A03C04F3,museum_record,Hebrew Bowl B16053,,,"Penn Museum Online Collections, B16053, web object 339970",,
SRC-282E40FD6206,museum_record,קערת השבעה מס' 73,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 73, Ms. Heb. 9467.104, MMS 997008712404705171.",,
SRC-28BD17A5E54E,museum_record,Eine Zauberschale aus Nippur,"Frau Professor Hilprecht Collection of Babylonian Antiquities, Friedrich Schiller University Jena",,"Museen Thüringen, ‘Eine Zauberschale aus Nippur,’ HS 3049, portal record dc00001092, accessed 4 September 2026.",,
SRC-292E3E15363B,museum_record,Incantation Bowl in Mandaic — MS 1911/2,The Schøyen Collection,,"The Schøyen Collection. ‘Incantation Bowl in Mandaic,’ MS 1911/2, accessed 4 September 2026.",,
SRC-296BF5E4B353,museum_record,Hebrew Bowl B6363,,,"Penn Museum Online Collections, B6363, web object 277833",,
SRC-298080BE701F,article,Aramaic Magic Bowls,"Yamauchi, Edwin M",1965,"Yamauchi, Edwin M. “ Aramaic Magic Bowls.” JAOS 85 (1965): 511–23.",,
SRC-29C07A77636C,article,Heal O’ Israel: A Pair of Duplicate Magic Bowls from the Pergamon Museum in Berlin,Levene [and others; see citation],2003,———. “Heal O’ Israel: A Pair of Duplicate Magic Bowls from the Pergamon Museum in Berlin.” JJS 54 (2003): 104–21.,,
SRC-29C91A678076,museum_record,Hebrew Bowl B8826,,,"Penn Museum Online Collections, B8826, web object 168965",,
SRC-29E8BB7237EE,museum_record,Conserving a Seleucian Incantation Bowl,Madeleine Neiman / Kelsey Museum of Archaeology,2015,"Neiman, Madeleine. ‘Conserving a Seleucian Incantation Bowl.’ Kelsey Museum Blog, 7 January 2015, describing TMA 1931.455 / KM 31455.",,
SRC-2AB386E77F55,museum_record,קערת השבעה מס' 141,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 141, Ms. Heb. 9467.165, MMS 997008712545005171.",,
SRC-2B329A1D4550,article,Mesopotamian Double-Jar Burials and Incantation Bowls,Ortal-Paz Saar,2019,Mesopotamian Double-Jar Burials and Incantation Bowls (2019). OpenAlex W2922215456.,10.7817/jameroriesoci.138.4.0863,
SRC-2CD1B5E5420D,museum_record,קערת השבעה מס' 213,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 213, Ms. Heb. 9467.27, MMS 997008712409605171.",,
SRC-2D4CCAB47A46,museum_record,Hebrew Bowl B16063,,,"Penn Museum Online Collections, B16063, web object 112273",,
SRC-2E36A0CC3152,museum_record,Eine Zauberschale aus Nippur,"Frau Professor Hilprecht Collection of Babylonian Antiquities, Friedrich Schiller University Jena",,"Museen Thüringen, ‘Eine Zauberschale aus Nippur,’ HS 3029, portal record dc00001083, accessed 4 September 2026.",,
SRC-2F5784919A43,museum_record,Hebrew Bowl B2972,,,"Penn Museum Online Collections, B2972, web object 19798",,
SRC-305EE21263F2,museum_record,Hebrew Bowl B6355,,,"Penn Museum Online Collections, B6355, web object 188705",,
