contributor_key,display_name,spellings,works,objects_published,first_year,last_year,needs_check
"naveh,j",Joseph Naveh,"[""Joseph Naveh"", ""Naveh"", ""Naveh, Joseph""]",3,8,1987,1998,1
"al-jubouri,b","Al-Jubouri, Bahaa Amer","[""Al-Jubouri"", ""Al-Jubouri, Bahaa Amer""]",3,0,2011,2015,1
"herman,g","Herman, Geoffrey","[""Herman"", ""Herman, Geoffrey""]",3,0,1997,2021,1
"vilozny,n",Naama Vilozny,"[""Naama Vilozny""]",3,0,2013,2018,0
"brodie,n",Neil Brodie,"[""Neil Brodie""]",3,0,2014,2016,0
"korsvoll,n",Nils H. Korsvoll,"[""Nils H. Korsvoll""]",3,0,2017,2020,0
"montgomery,j",James A. Montgomery,"[""James A. Montgomery""]",2,84,1913,1918,0
"isbell,c","Isbell, Charles D","[""Isbell"", ""Isbell, Charles D""]",2,17,1975,1976,1
"burberry,a",Anne Burberry,"[""Anne Burberry""]",2,0,2020,2020,0
"borisov,a","Borisov, A. Y","[""Borisov"", ""Borisov, A. Y""]",2,0,1939,1969,1
"yamauchi,e",Edwin M. Yamauchi,"[""Edwin M. Yamauchi"", ""Yamauchi, Edwin M""]",2,0,1965,1967,1
"kaufman,s","Kaufman, Stephen A","[""Kaufman"", ""Kaufman, Stephen A""]",2,0,1973,1975,1
"smelik,k",Klaas A. D. Smelik,"[""Klaas A. D. Smelik"", ""Klaas Smelik""]",2,0,1978,1978,1
"levy,m","Levy, M. A","[""Levy"", ""Levy, M. A""]",2,0,1855,1861,1
"morony,m",Michael G. Morony,"[""Michael G. Morony""]",2,0,2003,2007,0
"kersel,m",Morag M. Kersel,"[""Morag M. Kersel""]",2,0,2014,2014,0
"abudraham,o",Ohad Abudraham,"[""Ohad Abudraham""]",2,0,2018,2026,0
"gross,s",Simcha Gross,"[""Simcha Gross""]",2,0,2022,2025,0
"kwasman,t",Theodore Kwasman,"[""Theodore Kwasman""]",2,0,2000,2012,0
"ellis,t",Thomas Ellis,"[""Ellis, Thomas"", ""Thomas Ellis""]",2,0,1853,1853,1
"segal,j",J. B. Segal,"[""J. B. Segal""]",1,252,2000,2000,0
"mccullough,w",W. S. McCullough,"[""W. S. McCullough""]",1,2,1967,1967,0
"borobio,e",Emiliano Martínez Borobio,"[""Emiliano Martínez Borobio""]",1,1,2003,2003,0
"gorea,m","Gorea, Maria","[""Gorea, Maria""]",1,1,2003,2003,0
"amsler,m",Monika Amsler,"[""Monika Amsler""]",1,1,2023,2023,0
"journal,c",1280°C ceramics journal,"[""1280°C ceramics journal""]",1,0,2025,2025,0
"marcus,a",Alexander Marcus,"[""Alexander Marcus""]",1,0,2023,2023,0
"probst,a",Alexandra Probst,"[""Alexandra Probst""]",1,0,2021,2021,0
"lyavdansky,a",Alexey Lyavdansky,"[""Alexey Lyavdansky""]",1,0,2016,2016,0
"salvesen,a",Alison G. Salvesen,"[""Alison G. Salvesen""]",1,0,2002,2002,0
"ten-ami,a",Alon Ten-Ami,"[""Alon Ten-Ami""]",1,0,2012,2012,0
"auctions,a",Apollo Art Auctions,"[""Apollo Art Auctions""]",1,0,2025,2025,0
archaeological center / deutsch auction,Archaeological Center / Deutsch Auction,"[""Archaeological Center / Deutsch Auction""]",1,0,,,0
archaeological center ltd,Archaeological Center Ltd,"[""Archaeological Center Ltd""]",1,0,,,0
"layard,a",Austen Henry Layard,"[""Austen Henry Layard""]",1,0,1853,1853,0
"babelon,e","Babelon, Ernest","[""Babelon, Ernest""]",1,0,1882,1882,0
"billiet,j","Billiet, Joseph","[""Billiet, Joseph""]",1,0,1931,1931,0
bonhams,Bonhams,"[""Bonhams""]",1,0,,,0
"haberl,c",Charles G. Häberl,"[""Charles G. Häberl""]",1,0,2015,2015,0
"jullien,c",Christelle Jullien,"[""Christelle Jullien""]",1,0,2018,2018,0
"stadel,c",Christian Stadel,"[""Christian Stadel""]",1,0,2016,2016,0
"chwolson,d","Chwolson, Daniel","[""Chwolson, Daniel""]",1,0,1992,1992,0
"frim,d",Daniel Frim,"[""Daniel Frim""]",1,0,2021,2021,0
"kedar,d",Dorit Kedar,"[""Dorit Kedar""]",1,0,2019,2019,0
"molin,d",Dorota Molin,"[""Dorota Molin""]",1,0,2022,2022,0
"cook,e",Edward M. Cook,"[""Edward M. Cook""]",1,0,1992,1992,0
"wajsberg,e",Eljakim Wajsberg,"[""Eljakim Wajsberg""]",1,0,2001,2001,0
"marcato,e",Enrico Marcato,"[""Enrico Marcato""]",1,0,2020,2020,0
"fraenkel,s","Fraenkel, Siegmund","[""Fraenkel, Siegmund""]",1,0,1894,1894,0
"franco,f","Franco, Fulvio","[""Franco, Fulvio""]",1,0,1979,1979,0
"gawlikowski,m","Gawlikowski, Michel","[""Gawlikowski, Michel""]",1,0,1990,1990,0
"lusini,g",Gianfrancesco Lusini,"[""Gianfrancesco Lusini""]",1,0,2017,2017,0
"bohak,g",Gideon Bohak,"[""Gideon Bohak""]",1,0,2012,2012,0
"walker,h",HARRIET WALKER,"[""HARRIET WALKER""]",1,0,2025,2025,0
"halevy,j","Halévy, Joseph","[""Halévy, Joseph""]",1,0,1877,1877,0
"juusola,h",Hannu Juusola,"[""Hannu Juusola""]",1,0,2001,2001,0
"harkavy,a","Harkavy, Abraham Elijah","[""Harkavy, Abraham Elijah""]",1,0,1889,1889,0
"pognon,h",Henri Pognon,"[""Henri Pognon""]",1,0,1898,1898,0
"hyvernat,h","Hyvernat, Henri","[""Hyvernat, Henri""]",1,0,1885,1885,0
"safii,i",Ibrāhīm Šafiʿī,"[""Ibrāhīm Šafiʿī""]",1,0,2025,2025,0
"mokhtarian,j",Jason Sion Mokhtarian,"[""Jason Sion Mokhtarian""]",1,0,2015,2015,0
"jeruzalmi,i","Jeruzalmi, Isak","[""Jeruzalmi, Isak""]",1,0,1963,1963,0
"sanzo,j",Joseph E. Sanzo,"[""Joseph E. Sanzo""]",1,0,2017,2017,0
kedem auction house,Kedem Auction House,"[""Kedem Auction House""]",1,0,2013,2013,0
"lacau,p","Lacau, Pierre","[""Lacau, Pierre""]",1,0,1894,1894,0
"talalay,l",Lauren E. Talalay,"[""Lauren E. Talalay""]",1,0,2015,2015,0
"root,m",Margaret Cool Root,"[""Margaret Cool Root""]",1,0,2015,2015,0
"brand,m",Mattias Brand,"[""Mattias Brand""]",1,0,2021,2021,0
"scarlassara,m",Michele Scarlassara,"[""Michele Scarlassara""]",1,0,2025,2025,0
"misgav,h","Misgav, Haggai","[""Misgav, Haggai""]",1,0,2018,2018,0
museum,Museum,"[""Museum""]",1,0,2025,2025,0
"myhrman,d","Myhrman, David W","[""Myhrman, David W""]",1,0,1909,1909,0
"narquis,m","Narquis, M","[""Narquis, M""]",1,0,1934,1934,0
"obermann,j","Obermann, Julian","[""Obermann, Julian""]",1,0,1940,1940,0
"lanfer,p",Peter T. Lanfer,"[""Peter T. Lanfer""]",1,0,2015,2015,0
"rivett,p",Pilar B. Rivett,"[""Pilar B. Rivett""]",1,0,2026,2026,0
"wilkinson,r",Robert J. Wilkinson,"[""Robert J. Wilkinson""]",1,0,2026,2026,0
"rodwell,j","Rodwell, John Medows","[""Rodwell, John Medows""]",1,0,2013,2013,0
"secunda,s",Shai Secunda,"[""Shai Secunda""]",1,0,2025,2025,0
"shileyko,v","Shileyko, V. K","[""Shileyko, V. K""]",1,0,1921,1921,0
"silverman,r","Silverman, Robert J","[""Silverman, Robert J""]",1,0,2024,2024,0
"mackenzie,s",Simon Mackenzie,"[""Simon Mackenzie""]",1,0,2020,2020,0
"simpson,s","Simpson, St John","[""Simpson, St John""]",1,0,2022,2022,0
"stube,r","Stübe, Rudolf","[""Stübe, Rudolf""]",1,0,1895,1895,0
"fain,t",Tatyana Fain,"[""Tatyana Fain""]",1,0,2016,2016,0
the morgan library,The Morgan Library,"[""The Morgan Library""]",1,0,2025,2025,0
"wohlstein,",Wohlstein,"[""Wohlstein""]",1,0,1894,1894,0
"jos,w",Wohlstein. Jos,"[""Wohlstein. Jos""]",1,0,1893,1893,0
"edwin,y",YAMAUCHI Edwin,"[""YAMAUCHI Edwin""]",1,0,2005,2005,0
"harari,y",Yuval Harari,"[""Yuval Harari""]",1,0,2017,2017,0
